id_incidente,anio,mes,dia_semana,estacion,momento_dia,pais,tipo_area,densidad_poblacion_por_km2,tipo_delito,puntaje_severidad_delito,cantidad_victimas,genero_victima,grupo_edad_victima,lesiones_reportadas,fallecidos,perdida_financiera_usd,arma_utilizada,mes_nombre,inconsistencia_victimas,perdida_atipica,nivel_severidad
CRM0000045,2021,6,Jueves,Primavera,Noche (10pm-2am),Pakistán,Suburbano,189,Robo,6.7,2,Masculino,46-55,3,0,84.95,Sin Arma Registrada,Junio,False,False,Alta
CRM0000046,2023,9,Lunes,Primavera,Anochecer (6pm-10pm),Estados Unidos,Urbano,2024,Agresión Sexual,7.6,2,Masculino,46-55,0,0,123.54,Sin Arma Registrada,Septiembre,False,False,Alta
CRM0000047,2021,1,Viernes,Otoño,Mañana (6am-12pm),Pakistán,Rural,73,Robo,8.3,1,Masculino,56-65,4,1,441.23,Arma Blanca,Enero,False,False,Alta
CRM0000048,2022,11,Sábado,Verano,Anochecer (6pm-10pm),Estados Unidos,Rural,19,Hurto,2.6,1,Femenino,46-55,0,0,1647.65,Sin Arma Registrada,Noviembre,False,False,Baja
CRM0000049,2022,2,Viernes,Otoño,Tarde (12pm-6pm),Alemania,Rural,208,Robo,8.4,1,Masculino,26-35,1,0,58.89,Sin Arma Registrada,Febrero,False,False,Alta
CRM0000050,2021,1,Viernes,Primavera,Noche (10pm-2am),Reino Unido,Suburbano,165,Allanamiento,5.3,1,Femenino,46-55,0,0,683.78,Arma de Fuego,Enero,False,False,Media
CRM0000051,2024,10,Viernes,Otoño,Anochecer (6pm-10pm),Reino Unido,Remoto,23,Incendio Provocado,9.0,1,Femenino,26-35,9,1,223.21,Sin Arma Registrada,Octubre,False,False,Alta
CRM0000052,2023,12,Domingo,Otoño,Tarde (12pm-6pm),India,Urbano,8087,Fraude,3.8,1,Masculino,26-35,0,0,4569.37,Arma Blanca,Diciembre,False,True,Media
CRM0000053,2024,3,Jueves,Invierno,Mañana (6am-12pm),Estados Unidos,Rural,78,Fraude,3.4,1,Masculino,18-25,0,0,1080.31,Desconocido,Marzo,False,False,Media
CRM0000054,2024,11,Lunes,Primavera,Mañana (6am-12pm),Turquía,Rural,129,Hurto,2.2,2,Masculino,26-35,0,0,267.84,Arma Blanca,Noviembre,False,False,Baja
CRM0000055,2023,5,Domingo,Verano,Anochecer (6pm-10pm),Alemania,Urbano,3466,Extorsión,7.5,1,Desconocido,26-35,0,0,45491.3,Sustancia Química,Mayo,False,True,Alta
CRM0000056,2024,1,Lunes,Primavera,Noche (10pm-2am),Nigeria,Urbano,663,Robo,7.3,2,Masculino,18-25,0,0,1554.53,Arma Blanca,Enero,False,False,Alta
CRM0000057,2020,4,Sábado,Otoño,Noche (10pm-2am),India,Urbano,2245,Cibercrimen,3.0,1,Masculino,46-55,0,0,1135.79,Arma Blanca,Abril,False,False,Baja
CRM0000058,2021,8,Lunes,Invierno,Noche (10pm-2am),México,Urbano,702,Robo,8.6,1,Desconocido,56-65,3,0,161.78,Arma Blanca,Agosto,False,False,Alta
CRM0000059,2020,6,Miércoles,Primavera,Anochecer (6pm-10pm),India,Urbano,928,Homicidio,9.8,4,Masculino,36-45,2,1,222.61,Sin Arma Registrada,Junio,False,False,Alta
CRM0000060,2021,1,Sábado,Primavera,Anochecer (6pm-10pm),Reino Unido,Suburbano,303,Hurto,4.4,1,Masculino,56-65,0,0,696.28,Sustancia Química,Enero,False,False,Media
CRM0000061,2022,12,Martes,Otoño,Tarde (12pm-6pm),Egipto,Urbano,800,Fraude,4.0,1,Femenino,36-45,0,0,24818.45,Arma de Fuego,Diciembre,False,True,Media
CRM0000062,2021,1,Martes,Verano,Anochecer (6pm-10pm),Alemania,Urbano,1093,Agresión Sexual,8.1,3,Femenino,36-45,1,0,120.7,Sin Arma Registrada,Enero,False,False,Alta
CRM0000063,2024,3,Lunes,Verano,Madrugada (2am-6am),Nigeria,Suburbano,283,Allanamiento,6.2,4,Femenino,36-45,0,0,66.86,Vehículo,Marzo,False,False,Media
CRM0000064,2022,10,Sábado,Verano,Anochecer (6pm-10pm),Australia,Suburbano,446,Vandalismo,2.5,4,Masculino,65+,0,0,41.52,Vehículo,Octubre,False,False,Baja
CRM0000065,2021,8,Viernes,Otoño,Mañana (6am-12pm),Francia,Urbano,2355,Violencia Doméstica,5.5,1,Femenino,18-25,3,0,33.74,Arma Blanca,Agosto,False,False,Media
CRM0000066,2022,11,Jueves,Verano,Madrugada (2am-6am),México,Urbano,4912,Vandalismo,1.7,2,Femenino,46-55,0,0,3.63,Objeto Contundente,Noviembre,False,False,Baja
CRM0000067,2020,11,Jueves,Otoño,Anochecer (6pm-10pm),India,Urbano,1584,Homicidio,9.9,3,Masculino,Menor de 18,3,2,112.71,Sin Arma Registrada,Noviembre,False,False,Alta
CRM0000068,2024,8,Miércoles,Verano,Mañana (6am-12pm),Pakistán,Suburbano,455,Hurto,2.5,1,Desconocido,18-25,0,0,1274.7,Arma de Fuego,Agosto,False,False,Baja
CRM0000069,2020,3,Domingo,Verano,Anochecer (6pm-10pm),Estados Unidos,Suburbano,1692,Vandalismo,3.2,2,Femenino,18-25,0,0,115.4,Objeto Contundente,Marzo,False,False,Baja
CRM0000070,2024,7,Viernes,Verano,Anochecer (6pm-10pm),Estados Unidos,Rural,73,Allanamiento,5.4,1,Masculino,18-25,0,0,273.21,Vehículo,Julio,False,False,Media
CRM0000071,2023,12,Miércoles,Invierno,Noche (10pm-2am),India,Urbano,8009,Violencia Doméstica,7.2,1,Femenino,36-45,4,0,35.65,Arma de Fuego,Diciembre,False,False,Alta
CRM0000072,2021,3,Martes,Invierno,Noche (10pm-2am),Turquía,Rural,166,Vandalismo,3.0,1,Masculino,26-35,0,0,32.46,Arma Blanca,Marzo,False,False,Baja
CRM0000073,2020,4,Martes,Otoño,Mañana (6am-12pm),Francia,Urbano,1605,Cibercrimen,4.3,1,Masculino,18-25,0,0,1323.62,Vehículo,Abril,False,False,Media
CRM0000074,2024,9,Sábado,Otoño,Noche (10pm-2am),Estados Unidos,Rural,37,Secuestro,7.7,3,Femenino,26-35,9,0,122.19,Desconocido,Septiembre,False,False,Alta
CRM0000075,2023,4,Sábado,Primavera,Anochecer (6pm-10pm),Alemania,Remoto,17,Asalto,7.3,2,Masculino,65+,3,0,575.4,Arma de Fuego,Abril,False,False,Alta
CRM0000076,2023,3,Lunes,Invierno,Mañana (6am-12pm),Reino Unido,Rural,33,Robo,7.0,1,Masculino,46-55,4,1,996.55,Arma Blanca,Marzo,False,False,Alta
CRM0000077,2023,5,Lunes,Primavera,Noche (10pm-2am),Indonesia,Urbano,1913,Robo,8.4,1,Masculino,36-45,3,0,168.85,Sin Arma Registrada,Mayo,False,False,Alta
CRM0000078,2020,7,Martes,Primavera,Anochecer (6pm-10pm),Brasil,Suburbano,1970,Homicidio,9.4,1,Masculino,26-35,4,2,65.62,Sin Arma Registrada,Julio,True,False,Alta
CRM0000079,2022,5,Domingo,Otoño,Anochecer (6pm-10pm),Estados Unidos,Suburbano,324,Robo,7.7,3,Masculino,26-35,4,0,2330.08,Sin Arma Registrada,Mayo,False,True,Alta
CRM0000080,2020,4,Miércoles,Invierno,Noche (10pm-2am),Estados Unidos,Urbano,3182,Vandalismo,2.1,1,Masculino,46-55,0,0,59.23,Sin Arma Registrada,Abril,False,False,Baja
CRM0000081,2024,8,Miércoles,Invierno,Anochecer (6pm-10pm),Nigeria,Suburbano,346,Asalto,5.6,1,Masculino,65+,4,0,71.24,Desconocido,Agosto,False,False,Media
CRM0000082,2023,4,Sábado,Invierno,Anochecer (6pm-10pm),Estados Unidos,Suburbano,909,Robo,8.1,2,Femenino,18-25,3,0,450.65,Sin Arma Registrada,Abril,False,False,Alta
CRM0000083,2022,2,Sábado,Primavera,Anochecer (6pm-10pm),Nigeria,Urbano,723,Hurto,2.3,1,Desconocido,18-25,0,0,80.94,Desconocido,Febrero,False,False,Baja
CRM0000084,2020,10,Sábado,Verano,Anochecer (6pm-10pm),Indonesia,Rural,88,Homicidio,9.9,1,Femenino,18-25,2,2,45.65,Sin Arma Registrada,Octubre,True,False,Alta
CRM0000085,2021,6,Miércoles,Otoño,Tarde (12pm-6pm),Reino Unido,Rural,40,Hurto,4.9,3,Desconocido,36-45,0,0,193.54,Sin Arma Registrada,Junio,False,False,Media
CRM0000086,2021,2,Sábado,Verano,Tarde (12pm-6pm),India,Suburbano,1069,Asalto,5.4,4,Masculino,18-25,0,0,363.28,Arma de Fuego,Febrero,False,False,Media
CRM0000087,2023,3,Sábado,Primavera,Tarde (12pm-6pm),Egipto,Urbano,1870,Allanamiento,4.3,1,Femenino,18-25,0,0,286.01,Arma Blanca,Marzo,False,False,Media
CRM0000088,2023,1,Miércoles,Verano,Anochecer (6pm-10pm),Sudáfrica,Urbano,2724,Extorsión,6.2,1,Femenino,18-25,0,0,8479.23,Sin Arma Registrada,Enero,False,True,Media
CRM0000089,2024,5,Lunes,Otoño,Anochecer (6pm-10pm),Pakistán,Urbano,2736,Vandalismo,3.9,2,Masculino,26-35,0,0,65.36,Arma de Fuego,Mayo,False,False,Media
CRM0000090,2022,9,Domingo,Invierno,Anochecer (6pm-10pm),Pakistán,Remoto,9,Hurto,3.2,1,Masculino,46-55,0,0,77.19,Sin Arma Registrada,Septiembre,False,False,Baja
CRM0000091,2020,2,Domingo,Otoño,Noche (10pm-2am),Pakistán,Urbano,637,Robo,7.1,1,Femenino,46-55,4,0,2670.07,Desconocido,Febrero,False,True,Alta
CRM0000092,2023,12,Jueves,Verano,Madrugada (2am-6am),Alemania,Rural,130,Fraude,5.8,1,Masculino,18-25,0,0,483.73,Sin Arma Registrada,Diciembre,False,False,Media
CRM0000093,2023,7,Martes,Otoño,Anochecer (6pm-10pm),Canadá,Urbano,2420,Violencia Doméstica,5.5,2,Femenino,26-35,1,0,30.41,Objeto Contundente,Julio,False,False,Media
CRM0000094,2023,5,Sábado,Verano,Tarde (12pm-6pm),Brasil,Urbano,2456,Violencia Doméstica,6.1,1,Masculino,46-55,0,0,34.04,Sin Arma Registrada,Mayo,False,False,Media
CRM0000095,2023,2,Sábado,Invierno,Anochecer (6pm-10pm),Pakistán,Rural,141,Asalto,5.9,3,Desconocido,26-35,2,0,329.47,Sin Arma Registrada,Febrero,False,False,Media
CRM0000096,2022,8,Martes,Invierno,Madrugada (2am-6am),Reino Unido,Urbano,1543,Hurto,3.8,2,Femenino,46-55,0,0,190.97,Arma de Fuego,Agosto,False,False,Media
CRM0000097,2022,11,Domingo,Verano,Tarde (12pm-6pm),Egipto,Remoto,15,Agresión Sexual,7.5,2,Masculino,26-35,0,0,62.06,Sin Arma Registrada,Noviembre,False,False,Alta
CRM0000098,2022,6,Jueves,Otoño,Noche (10pm-2am),Sudáfrica,Suburbano,144,Delito de Drogas,5.6,1,Masculino,Menor de 18,0,0,128.1,Sin Arma Registrada,Junio,False,False,Media
CRM0000099,2020,4,Domingo,Otoño,Madrugada (2am-6am),Egipto,Suburbano,1083,Delito de Drogas,6.6,3,Masculino,65+,0,0,41.29,Objeto Contundente,Abril,False,False,Media
CRM0000100,2020,4,Viernes,Invierno,Anochecer (6pm-10pm),Francia,Suburbano,424,Extorsión,6.5,2,Femenino,Menor de 18,0,0,7738.53,Arma Blanca,Abril,False,True,Media
CRM0000101,2020,2,Viernes,Verano,Anochecer (6pm-10pm),Pakistán,Urbano,503,Asalto,7.1,3,Femenino,26-35,0,0,1658.89,Arma Blanca,Febrero,False,False,Alta
CRM0000102,2023,3,Sábado,Invierno,Madrugada (2am-6am),Australia,Suburbano,184,Cibercrimen,3.2,1,Masculino,46-55,0,0,1545.57,Sin Arma Registrada,Marzo,False,False,Baja
CRM0000103,2021,7,Miércoles,Verano,Tarde (12pm-6pm),Australia,Urbano,1629,Robo,7.3,1,Femenino,46-55,2,0,684.09,Arma de Fuego,Julio,False,False,Alta
CRM0000104,2022,3,Sábado,Primavera,Noche (10pm-2am),Sudáfrica,Urbano,2123,Delito de Drogas,4.3,1,Masculino,18-25,0,0,16.11,Arma de Fuego,Marzo,False,False,Media
CRM0000105,2024,5,Lunes,Primavera,Anochecer (6pm-10pm),Estados Unidos,Urbano,4676,Hurto,3.8,1,Femenino,65+,0,0,200.06,Arma de Fuego,Mayo,False,False,Media
CRM0000106,2021,10,Lunes,Primavera,Anochecer (6pm-10pm),Alemania,Rural,126,Cibercrimen,3.8,1,Masculino,36-45,0,0,4693.25,Sin Arma Registrada,Octubre,False,True,Media
CRM0000107,2022,6,Domingo,Invierno,Mañana (6am-12pm),Pakistán,Urbano,631,Tráfico de Personas,8.6,1,Masculino,26-35,0,0,25633.28,Sin Arma Registrada,Junio,False,True,Alta
CRM0000108,2023,6,Martes,Verano,Madrugada (2am-6am),Brasil,Urbano,1953,Fraude,3.3,4,Masculino,26-35,0,0,293.94,Sin Arma Registrada,Junio,False,False,Baja
CRM0000109,2021,4,Lunes,Otoño,Noche (10pm-2am),Brasil,Suburbano,326,Fraude,4.2,3,Femenino,26-35,0,0,5282.83,Sin Arma Registrada,Abril,False,True,Media
CRM0000110,2020,6,Jueves,Verano,Noche (10pm-2am),Egipto,Suburbano,364,Hurto,3.5,3,Femenino,26-35,0,0,102.68,Arma Blanca,Junio,False,False,Media
CRM0000111,2021,3,Domingo,Verano,Tarde (12pm-6pm),Francia,Rural,161,Vandalismo,2.8,1,Masculino,18-25,0,0,40.82,Arma Blanca,Marzo,False,False,Baja
CRM0000112,2021,7,Domingo,Primavera,Anochecer (6pm-10pm),Estados Unidos,Urbano,5289,Hurto,2.2,2,Masculino,56-65,0,0,204.32,Sin Arma Registrada,Julio,False,False,Baja
CRM0000113,2024,7,Domingo,Primavera,Tarde (12pm-6pm),Sudáfrica,Urbano,5299,Asalto,7.0,2,Femenino,36-45,1,0,69.56,Objeto Contundente,Julio,False,False,Alta
CRM0000114,2024,4,Viernes,Primavera,Noche (10pm-2am),India,Urbano,2094,Asalto,6.5,2,Masculino,36-45,4,0,176.99,Sin Arma Registrada,Abril,False,False,Media
CRM0000115,2023,2,Viernes,Verano,Mañana (6am-12pm),Indonesia,Urbano,3054,Hurto,3.6,1,Desconocido,26-35,0,0,120.65,Sin Arma Registrada,Febrero,False,False,Media
CRM0000116,2024,11,Sábado,Primavera,Tarde (12pm-6pm),Francia,Suburbano,453,Extorsión,7.5,1,Masculino,26-35,0,0,22.89,Sin Arma Registrada,Noviembre,False,False,Alta
CRM0000117,2024,7,Domingo,Invierno,Anochecer (6pm-10pm),Estados Unidos,Urbano,1176,Fraude,4.4,2,Femenino,65+,0,0,1548.21,Sin Arma Registrada,Julio,False,False,Media
CRM0000118,2021,3,Sábado,Otoño,Noche (10pm-2am),Alemania,Urbano,709,Allanamiento,4.5,1,Masculino,56-65,0,0,152.61,Sin Arma Registrada,Marzo,False,False,Media
CRM0000119,2024,1,Viernes,Primavera,Madrugada (2am-6am),Nigeria,Suburbano,168,Hurto,3.7,3,Masculino,18-25,0,0,234.87,Arma Blanca,Enero,False,False,Media
CRM0000120,2022,2,Martes,Otoño,Tarde (12pm-6pm),India,Urbano,2623,Allanamiento,6.8,1,Femenino,65+,0,0,153.14,Sin Arma Registrada,Febrero,False,False,Alta
CRM0000121,2024,10,Miércoles,Otoño,Anochecer (6pm-10pm),México,Urbano,2576,Allanamiento,5.6,1,Femenino,56-65,0,0,728.7,Arma de Fuego,Octubre,False,False,Media
CRM0000122,2024,9,Domingo,Verano,Madrugada (2am-6am),Sudáfrica,Suburbano,571,Allanamiento,6.5,2,Femenino,56-65,0,0,797.84,Arma de Fuego,Septiembre,False,False,Media
CRM0000123,2021,12,Miércoles,Primavera,Tarde (12pm-6pm),México,Rural,145,Asalto,7.3,3,Femenino,18-25,3,0,40.27,Arma Blanca,Diciembre,False,False,Alta
CRM0000124,2020,8,Jueves,Otoño,Tarde (12pm-6pm),Sudáfrica,Remoto,41,Robo,7.6,1,Masculino,36-45,1,0,1658.07,Sin Arma Registrada,Agosto,False,False,Alta
CRM0000125,2021,6,Sábado,Otoño,Noche (10pm-2am),Pakistán,Rural,116,Agresión Sexual,8.9,1,Masculino,36-45,1,0,285.51,Sin Arma Registrada,Junio,False,False,Alta
CRM0000126,2022,6,Sábado,Otoño,Tarde (12pm-6pm),Estados Unidos,Rural,73,Fraude,4.6,3,Masculino,26-35,0,0,1468.72,Desconocido,Junio,False,False,Media
CRM0000127,2024,1,Jueves,Verano,Anochecer (6pm-10pm),Pakistán,Suburbano,152,Asalto,6.6,1,Femenino,65+,4,0,128.99,Objeto Contundente,Enero,False,False,Media
CRM0000128,2024,2,Martes,Invierno,Noche (10pm-2am),Turquía,Rural,112,Extorsión,6.5,1,Masculino,36-45,0,0,12163.67,Arma Blanca,Febrero,False,True,Media
CRM0000129,2020,4,Miércoles,Invierno,Noche (10pm-2am),Francia,Urbano,1045,Delito de Drogas,6.1,1,Masculino,36-45,0,0,34.42,Objeto Contundente,Abril,False,False,Media
CRM0000130,2022,3,Viernes,Verano,Noche (10pm-2am),Canadá,Rural,58,Robo,7.2,1,Masculino,65+,1,0,971.44,Arma de Fuego,Marzo,False,False,Alta
CRM0000131,2022,1,Jueves,Invierno,Noche (10pm-2am),Estados Unidos,Suburbano,303,Violencia Doméstica,5.3,4,Masculino,26-35,1,0,72.82,Sin Arma Registrada,Enero,False,False,Media
CRM0000132,2021,8,Miércoles,Invierno,Anochecer (6pm-10pm),Pakistán,Suburbano,541,Delito de Drogas,6.4,1,Masculino,26-35,0,0,124.71,Objeto Contundente,Agosto,False,False,Media
CRM0000133,2020,7,Domingo,Invierno,Anochecer (6pm-10pm),Francia,Rural,99,Hurto,4.1,1,Masculino,Menor de 18,0,0,804.6,Objeto Contundente,Julio,False,False,Media
CRM0000134,2022,4,Miércoles,Primavera,Tarde (12pm-6pm),Turquía,Rural,219,Cibercrimen,5.9,1,Masculino,36-45,0,0,1187.51,Sin Arma Registrada,Abril,False,False,Media
CRM0000135,2024,12,Martes,Primavera,Anochecer (6pm-10pm),Pakistán,Urbano,1262,Fraude,4.7,1,Masculino,56-65,0,0,3680.29,Sin Arma Registrada,Diciembre,False,True,Media
CRM0000136,2021,12,Martes,Invierno,Noche (10pm-2am),Sudáfrica,Urbano,607,Fraude,3.3,2,Femenino,65+,0,0,10279.37,Arma Blanca,Diciembre,False,True,Baja
CRM0000137,2022,9,Sábado,Verano,Tarde (12pm-6pm),Pakistán,Urbano,704,Asalto,5.4,2,Masculino,18-25,0,0,309.31,Desconocido,Septiembre,False,False,Media
CRM0000138,2023,11,Viernes,Primavera,Noche (10pm-2am),México,Rural,30,Hurto,4.3,1,Femenino,18-25,0,0,878.59,Objeto Contundente,Noviembre,False,False,Media
CRM0000139,2022,4,Domingo,Verano,Tarde (12pm-6pm),México,Suburbano,669,Violencia Doméstica,5.2,2,Masculino,46-55,0,0,43.36,Desconocido,Abril,False,False,Media
